#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 02 12 16 48 999 99.0 99.0  0.61 10.53  7.32 273 9999.0 999.0  16.9 999.0 99.0 99.00
2015 02 12 17 18 999 99.0 99.0  0.57 11.11  7.25 273 9999.0 999.0  16.9 999.0 99.0 99.00
2015 02 12 17 48 999 99.0 99.0  0.56 11.11  7.34 274 9999.0 999.0  17.2 999.0 99.0 99.00
2015 02 12 18 18 999 99.0 99.0  0.55 11.11  7.40 275 9999.0 999.0  17.4 999.0 99.0 99.00
2015 02 12 18 48 999 99.0 99.0  0.59  9.88  7.45 268 9999.0 999.0  17.6 999.0 99.0 99.00
2015 02 12 19 18 999 99.0 99.0  0.55 10.53  7.20 270 9999.0 999.0  17.3 999.0 99.0 99.00
2015 02 12 19 48 999 99.0 99.0  0.55  9.88  7.36 271 9999.0 999.0  17.8 999.0 99.0 99.00
2015 02 12 20 18 999 99.0 99.0  0.52  9.88  7.28 271 9999.0 999.0  17.4 999.0 99.0 99.00
2015 02 12 20 48 999 99.0 99.0  0.52 11.76  7.64 278 9999.0 999.0  17.3 999.0 99.0 99.00
2015 02 12 21 18 999 99.0 99.0  0.52 10.53  7.69 274 9999.0 999.0  17.2 999.0 99.0 99.00
2015 02 12 21 48 999 99.0 99.0  0.52  9.88  7.59 268 9999.0 999.0  17.9 999.0 99.0 99.00
2015 02 12 22 18 999 99.0 99.0  0.51 12.50  7.68 280 9999.0 999.0  19.7 999.0 99.0 99.00
2015 02 12 22 48 999 99.0 99.0  0.53 12.50  7.52 281 9999.0 999.0  20.1 999.0 99.0 99.00
2015 02 12 23 18 999 99.0 99.0  0.52 11.76  7.60 282 9999.0 999.0  18.8 999.0 99.0 99.00
2015 02 12 23 48 999 99.0 99.0  0.55 11.11  7.51 281 9999.0 999.0  18.1 999.0 99.0 99.00
2015 02 13 00 18 999 99.0 99.0  0.58  9.88  6.42 278 9999.0 999.0  17.8 999.0 99.0 99.00
2015 02 13 00 48 999 99.0 99.0  0.58 12.50  6.71 281 9999.0 999.0  17.6 999.0 99.0 99.00
2015 02 13 01 18 999 99.0 99.0  0.57  9.88  6.68 273 9999.0 999.0  18.1 999.0 99.0 99.00
2015 02 13 01 48 999 99.0 99.0  0.57 12.50  6.78 282 9999.0 999.0  18.4 999.0 99.0 99.00
2015 02 13 02 18 999 99.0 99.0  0.54 11.76  6.71 280 9999.0 999.0  18.1 999.0 99.0 99.00
2015 02 13 02 48 999 99.0 99.0  0.52 11.76  7.01 280 9999.0 999.0  18.1 999.0 99.0 99.00
2015 02 13 03 18 999 99.0 99.0  0.54 12.50  7.13 281 9999.0 999.0  18.1 999.0 99.0 99.00
2015 02 13 03 48 999 99.0 99.0  0.54 12.50  7.03 282 9999.0 999.0  17.8 999.0 99.0 99.00
2015 02 13 04 18 999 99.0 99.0  0.56 11.76  7.24 278 9999.0 999.0  17.8 999.0 99.0 99.00
2015 02 13 04 48 999 99.0 99.0  0.51 11.76  7.05 274 9999.0 999.0  17.6 999.0 99.0 99.00
2015 02 13 05 18 999 99.0 99.0  0.59 11.11  7.79 280 9999.0 999.0  17.5 999.0 99.0 99.00
